game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,summary,team_abbrev,team_name,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,losing_Team
832033,2026-02-20T18:05:00Z,2026-02-20,E,Pre-Game,Northeastern Huskies,Boston Red Sox,343,111,N,1,Tyler Uberstine,,,,0,0,,,4309,JetBlue Park,[],,2026-02-20 - Northeastern Huskies @ Boston Red Sox (Pre-Game),BOS,Boston Red Sox,,,,,,
831764,2026-02-20T20:10:00Z,2026-02-20,S,Pre-Game,San Diego Padres,Seattle Mariners,135,136,N,1,Dane Dunning,Jagger Haynes,,,0,0,1.0,Top,2530,Peoria Stadium,['MLBN (out-of-market only)'],,2026-02-20 - San Diego Padres @ Seattle Mariners (Pre-Game),SEA,Seattle Mariners,,,,,,
831829,2026-02-20T20:05:00Z,2026-02-20,S,Scheduled,Kansas City Royals,Texas Rangers,118,140,N,1,Nathan Eovaldi,Stephen Kolek,,,0,0,,,2603,Surprise Stadium,[],,2026-02-20 - Kansas City Royals @ Texas Rangers (Scheduled),KC,Kansas City Royals,,,,,,
831959,2026-02-20T20:10:00Z,2026-02-20,S,Pre-Game,Arizona Diamondbacks,Colorado Rockies,109,115,N,1,Antonio Senzatela,,,,0,0,,,4249,Salt River Fields at Talking Stick,[],,2026-02-20 - Arizona Diamondbacks @ Colorado Rockies (Pre-Game),COL,Colorado Rockies,,,,,,
832043,2026-02-20T23:05:00Z,2026-02-20,E,Scheduled,Minnesota Golden Gophers,Minnesota Twins,4864,142,N,1,,,,,0,0,,,2862,Lee Health Sports Complex,[],,2026-02-20 - Minnesota Golden Gophers @ Minnesota Twins (Scheduled),MIN,Minnesota Twins,,,,,,
832042,2026-02-20T20:05:00Z,2026-02-20,S,Scheduled,Chicago White Sox,Chicago Cubs,145,112,N,1,Jameson Taillon,Jonathan Cannon,,,0,0,,,4629,Sloan Park,[],,2026-02-20 - Chicago White Sox @ Chicago Cubs (Scheduled),CHC,Chicago Cubs,,,,,,
832034,2026-02-20T18:05:00Z,2026-02-20,S,Pre-Game,New York Yankees,Baltimore Orioles,147,110,N,1,Trevor Rogers,,,,0,0,,,2508,Ed Smith Stadium,['MLBN (out-of-market only)'],,2026-02-20 - New York Yankees @ Baltimore Orioles (Pre-Game),BAL,Baltimore Orioles,,,,,,
831494,2026-02-21T18:05:00Z,2026-02-21,S,Pre-Game,Washington Nationals,St. Louis Cardinals,120,138,N,1,Matthew Liberatore,Shinnosuke Ogasawara,,,0,0,1.0,Top,2520,Roger Dean Chevrolet Stadium,[],,2026-02-21 - Washington Nationals @ St. Louis Cardinals (Pre-Game),WSH,Washington Nationals,,,,,,
831872,2026-02-21T20:10:00Z,2026-02-21,S,Pre-Game,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,Mitch Bratt,Valente Bellozo,,,0,0,,,4249,Salt River Fields at Talking Stick,[],AZ leads 1-0,2026-02-21 - Colorado Rockies @ Arizona Diamondbacks (Pre-Game),COL,Colorado Rockies,,,,,,
831878,2026-02-21T20:10:00Z,2026-02-21,S,Scheduled,Cleveland Guardians,Milwaukee Brewers,114,158,N,1,Garrett Stallings,Joey Cantillo,,,0,0,,,2518,American Family Fields of Phoenix,[],,2026-02-21 - Cleveland Guardians @ Milwaukee Brewers (Scheduled),CLE,Cleveland Guardians,,,,,,
831900,2026-02-21T20:05:00Z,2026-02-21,S,Scheduled,Cincinnati Reds,Cleveland Guardians,113,114,N,1,Logan Allen,Chase Burns,,,0,0,,,3834,Goodyear Ballpark,[],,2026-02-21 - Cincinnati Reds @ Cleveland Guardians (Scheduled),CLE,Cleveland Guardians,,,,,,
831497,2026-02-21T18:10:00Z,2026-02-21,S,Pre-Game,Miami Marlins,New York Mets,146,121,N,1,Brandon Waddell,Robby Snelling,,,0,0,1.0,Top,2856,Clover Park,[],,2026-02-21 - Miami Marlins @ New York Mets (Pre-Game),NYM,New York Mets,,,,,,
831654,2026-02-21T18:05:00Z,2026-02-21,S,Pre-Game,Boston Red Sox,Minnesota Twins,111,142,N,1,Joe Ryan,Payton Tolle,,,0,0,1.0,Top,2862,Lee Health Sports Complex,"['MLBN (out-of-market only)', 'MLBN']",,2026-02-21 - Boston Red Sox @ Minnesota Twins (Pre-Game),MIN,Minnesota Twins,,,,,,
832063,2026-02-21T20:10:00Z,2026-02-21,S,Scheduled,Los Angeles Dodgers,Los Angeles Angels,119,108,N,1,José Soriano,Yoshinobu Yamamoto,,,0,0,,,2500,Tempe Diablo Stadium,[],,2026-02-21 - Los Angeles Dodgers @ Los Angeles Angels (Scheduled),LAA,Los Angeles Angels,,,,,,
831948,2026-02-21T20:05:00Z,2026-02-21,S,Scheduled,Athletics,Chicago White Sox,133,145,N,1,Chris Murphy,Jack Perkins,,,0,0,,,3809,Camelback Ranch,[],,2026-02-21 - Athletics @ Chicago White Sox (Scheduled),CWS,Chicago White Sox,,,,,,
831598,2026-02-21T18:05:00Z,2026-02-21,S,Pre-Game,Houston Astros,Washington Nationals,117,120,N,1,Jake Eder,Colton Gordon,,,0,0,1.0,Top,5000,CACTI Park of the Palm Beaches,[],,2026-02-21 - Houston Astros @ Washington Nationals (Pre-Game),WSH,Washington Nationals,,,,,,
831544,2026-02-21T18:05:00Z,2026-02-21,S,Scheduled,Pittsburgh Pirates,Baltimore Orioles,134,110,N,1,Dean Kremer,Wilber Dotel,,,0,0,,,2508,Ed Smith Stadium,[],,2026-02-21 - Pittsburgh Pirates @ Baltimore Orioles (Scheduled),BAL,Baltimore Orioles,,,,,,
831542,2026-02-21T18:07:00Z,2026-02-21,S,Pre-Game,Philadelphia Phillies,Toronto Blue Jays,143,141,N,1,,,,,0,0,1.0,Top,2536,TD Ballpark,[],,2026-02-21 - Philadelphia Phillies @ Toronto Blue Jays (Pre-Game),TOR,Toronto Blue Jays,,,,,,
831655,2026-02-21T18:05:00Z,2026-02-21,S,Pre-Game,Detroit Tigers,New York Yankees,116,147,N,1,Carlos Lagrange,Keider Montero,,,0,0,1.0,Top,2523,George M. Steinbrenner Field,[],,2026-02-21 - Detroit Tigers @ New York Yankees (Pre-Game),DET,Detroit Tigers,,,,,,
831732,2026-02-21T20:05:00Z,2026-02-21,S,Scheduled,Texas Rangers,Chicago Cubs,140,112,N,1,Matthew Boyd,Kumar Rocker,,,0,0,,,4629,Sloan Park,[],,2026-02-21 - Texas Rangers @ Chicago Cubs (Scheduled),CHC,Chicago Cubs,,,,,,
